tube_assembly_id,supplier,quote_date,annual_usage,min_order_quantity,bracket_pricing,quantity,cost,class
TA-00002,S-0066,07-07-13,0,0,Yes,1,21.9059330191461,A
TA-00002,S-0066,07-07-13,0,0,Yes,2,12.3412139792904,Y
TA-00002,S-0066,07-07-13,0,0,Yes,5,6.60182614356538,C
TA-00002,S-0066,07-07-13,0,0,Yes,10,4.6877695119712,D
TA-00002,S-0066,07-07-13,0,0,Yes,25,3.54156118026073,Z
TA-00002,S-0066,07-07-13,0,0,Yes,50,3.22440644770007,F
TA-00002,S-0066,07-07-13,0,0,Yes,100,3.08252143576504,G
TA-00002,S-0066,07-07-13,0,0,Yes,250,2.99905966403855,H
TA-00004,S-0066,07-07-13,0,0,Yes,1,21.9727024365273,I
TA-00004,S-0066,07-07-13,0,0,Yes,2,12.4079833966715,J
TA-00004,S-0066,07-07-13,0,0,Yes,5,6.66859556094657,K
TA-00004,S-0066,07-07-13,0,0,Yes,10,4.75453892935239,L
TA-00004,S-0066,07-07-13,0,0,Yes,25,3.60833059764193,M
TA-00004,S-0066,07-07-13,0,0,Yes,50,3.29117586508126,N
TA-00004,S-0066,07-07-13,0,0,Yes,100,3.14929085314623,O
TA-00004,S-0066,07-07-13,0,0,Yes,250,3.06582908141974,P
TA-00005,S-0066,01-09-13,0,0,Yes,1,28.3742203279491,Q
TA-00005,S-0066,01-09-13,0,0,Yes,2,16.5143025656149,R
TA-00005,S-0066,01-09-13,0,0,Yes,5,9.3977954964028,S
TA-00005,S-0066,01-09-13,0,0,Yes,10,7.02748117937048,T
TA-00005,S-0066,01-09-13,0,0,Yes,25,5.60306694190504,U
TA-00005,S-0066,01-09-13,0,0,Yes,50,5.19410426044524,V
TA-00005,S-0066,01-09-13,0,0,Yes,100,5.00770630358941,W
TA-00005,S-0066,01-09-13,0,0,Yes,250,4.89642394128743,X
TA-00012,S-0066,11-08-13,0,0,Yes,1,22.4150498266777,Y
TA-00012,S-0066,11-08-13,0,0,Yes,2,12.8503307868219,A
TA-00012,S-0066,11-08-13,0,0,Yes,5,7.11372501015452,Y
TA-00012,S-0066,11-08-13,0,0,Yes,10,5.19966837856034,C
TA-00012,S-0066,11-08-13,0,0,Yes,25,4.05067798779232,D
TA-00012,S-0066,11-08-13,0,0,Yes,50,3.73630531428921,E
TA-00012,S-0066,11-08-13,0,0,Yes,100,3.59442030235418,F
TA-00012,S-0066,11-08-13,0,0,Yes,250,3.51095853062769,G
TA-00013,S-0026,21-07-92,50,1,No,1,10.0042843709486,H
TA-00014,S-0066,17-03-13,0,0,Yes,1,21.9949589089877,I
TA-00014,S-0066,17-03-13,0,0,Yes,2,12.4302398691319,J
TA-00014,S-0066,17-03-13,0,0,Yes,5,6.69085203340696,K
TA-00014,S-0066,17-03-13,0,0,Yes,10,4.77957746087034,L
TA-00014,S-0066,17-03-13,0,0,Yes,25,3.63058707010232,M
TA-00014,S-0066,17-03-13,0,0,Yes,50,3.31621439659921,N
TA-00014,S-0066,17-03-13,0,0,Yes,100,3.17432938466418,O
TA-00014,S-0066,17-03-13,0,0,Yes,250,3.08808555388014,P
TA-00021,S-0030,10-02-14,1,1,No,1,3.4330608770163,Q
TA-00022,S-0013,27-07-11,1,1,No,1,8.5631777791379,R
TA-00024,S-0066,01-08-13,0,0,Yes,1,20.9349944080613,S
TA-00024,S-0066,01-08-13,0,0,Yes,2,11.3702753682055,T
TA-00024,S-0066,01-08-13,0,0,Yes,5,5.63366959153809,U
TA-00024,S-0066,01-08-13,0,0,Yes,10,3.71961295994391,V
TA-00024,S-0066,01-08-13,0,0,Yes,25,2.57340462823345,W
TA-00024,S-0066,01-08-13,0,0,Yes,50,2.25624989567278,X
TA-00024,S-0066,01-08-13,0,0,Yes,100,2.11436488373775,Y
TA-00024,S-0066,01-08-13,0,0,Yes,250,2.03090311201126,A
TA-00025,S-0066,01-08-13,0,0,Yes,1,20.7819811598961,Y
TA-00025,S-0066,01-08-13,0,0,Yes,2,11.2172621200403,C
TA-00025,S-0066,01-08-13,0,0,Yes,5,5.47787428431531,D
TA-00025,S-0066,01-08-13,0,0,Yes,10,3.56659971177868,E
TA-00025,S-0066,01-08-13,0,0,Yes,25,2.41760932101067,F
TA-00025,S-0066,01-08-13,0,0,Yes,50,2.10323664750755,G
TA-00025,S-0066,01-08-13,0,0,Yes,100,1.96135163557252,H
TA-00025,S-0066,01-08-13,0,0,Yes,250,1.87788986384603,I
TA-00027,S-0062,24-09-93,30,1,No,1,2.73754611262888,J
TA-00028,S-0062,24-06-11,3,0,Yes,5,16.7090466996433,K
TA-00028,S-0062,24-06-11,3,0,Yes,10,10.1517335009988,L
TA-00031,S-0014,29-07-02,2,0,Yes,2,25.0190571045442,M
TA-00031,S-0014,29-07-02,2,0,Yes,4,14.5863356387329,N
TA-00031,S-0014,29-07-02,2,0,Yes,6,11.1087618167958,O
TA-00031,S-0014,29-07-02,2,0,Yes,8,9.3699749058273,P
TA-00031,S-0014,29-07-02,2,0,Yes,10,8.32670275924617,Q
TA-00031,S-0014,29-07-02,2,0,Yes,12,7.63118799485875,R
TA-00034,S-0062,07-08-14,50,0,Yes,1,94.0252499680063,S
TA-00034,S-0062,02-02-93,280,1,Yes,1,4.82965452390623,T
TA-00034,S-0062,07-08-14,50,0,Yes,6,22.6626530827996,U
TA-00034,S-0062,07-08-14,50,0,Yes,10,16.9538678967077,V
TA-00034,S-0062,07-08-14,50,0,Yes,20,11.676301864536,W
TA-00034,S-0062,07-08-14,50,0,Yes,50,8.96935840154015,X
TA-00037,S-0062,01-09-94,600,1,No,1,1.56351719034292,Y
TA-00046,S-0026,19-11-10,15,1,No,1,228.148317132476,A
TA-00047,S-0072,12-04-06,10,1,No,1,7.83427830605988,Y
TA-00048,S-0026,01-09-09,180,20,No,1,2.94063642383,C
TA-00052,S-0066,01-10-13,0,0,Yes,1,29.5593774864653,D
TA-00052,S-0066,01-10-13,0,0,Yes,2,17.699459724131,E
TA-00052,S-0066,01-10-13,0,0,Yes,5,10.582952654919,F
TA-00052,S-0066,01-10-13,0,0,Yes,10,8.20985627882909,G
TA-00052,S-0066,01-10-13,0,0,Yes,25,6.7882241004212,H
TA-00052,S-0066,01-10-13,0,0,Yes,50,6.3792614189614,I
TA-00052,S-0066,01-10-13,0,0,Yes,100,6.19286346210557,J
TA-00052,S-0066,01-10-13,0,0,Yes,250,6.08158109980359,K
TA-00054,S-0064,21-06-05,5,0,Yes,2,38.7874673803575,L
TA-00054,S-0064,21-06-05,5,0,Yes,3,27.9596935283742,M
TA-00054,S-0064,21-06-05,5,0,Yes,4,22.5931016063609,N
TA-00054,S-0064,21-06-05,5,0,Yes,6,16.575507864881,O
TA-00056,S-0066,01-09-13,0,0,Yes,1,28.646862115589,P
TA-00056,S-0066,01-09-13,0,0,Yes,2,16.7869443532547,Q
TA-00056,S-0066,01-09-13,0,0,Yes,5,9.67043728404266,R
TA-00056,S-0066,01-09-13,0,0,Yes,10,7.30012296701034,S
TA-00056,S-0066,01-09-13,0,0,Yes,25,5.87570872954491,T
TA-00056,S-0066,01-09-13,0,0,Yes,50,5.46952810714266,U
TA-00056,S-0066,01-09-13,0,0,Yes,100,5.28034809122928,V
TA-00056,S-0066,01-09-13,0,0,Yes,250,5.16906572892729,W
TA-00058,S-0072,29-07-14,2,0,Yes,2,11.9155589434853,X
TA-00058,S-0072,29-07-14,2,0,Yes,4,8.64663955086438,Y
TA-00058,S-0072,29-07-14,2,0,Yes,6,7.22778943151405,A
TA-00058,S-0072,29-07-14,2,0,Yes,8,6.45159495445769,Y
TA-00061,S-0066,01-06-13,0,0,Yes,1,21.3217006170607,C
TA-00061,S-0066,01-06-13,0,0,Yes,2,11.7569815772049,D
TA-00061,S-0066,01-06-13,0,0,Yes,5,6.02037580053749,E
TA-00061,S-0066,01-06-13,0,0,Yes,10,4.10631916894332,F
TA-00061,S-0066,01-06-13,0,0,Yes,25,2.9573287781753,G
TA-00061,S-0066,01-06-13,0,0,Yes,50,2.64295610467219,H
TA-00061,S-0066,01-06-13,0,0,Yes,100,2.50107109273716,I
TA-00061,S-0066,01-06-13,0,0,Yes,250,2.41760932101067,J
TA-00062,S-0041,03-06-14,200,60,No,60,2.37587843514742,K
TA-00063,S-0041,03-06-14,200,40,No,40,1.54960689505517,L
TA-00064,S-0041,03-06-14,300,60,No,60,2.18391636017649,M
TA-00066,S-0062,06-04-99,8821,1,No,1,1.26305481212755,N
TA-00068,S-0026,19-08-02,701,1,Yes,1,4.78792363804299,O
TA-00073,S-0026,05-07-00,115,1,No,1,10.7470941393144,P
TA-00076,S-0066,11-08-13,0,0,Yes,1,22.5068577755769,Q
TA-00076,S-0066,11-08-13,0,0,Yes,2,12.9421387357211,R
TA-00076,S-0066,11-08-13,0,0,Yes,5,7.2027508999961,S
TA-00076,S-0066,11-08-13,0,0,Yes,10,5.29147632745948,T
TA-00076,S-0066,11-08-13,0,0,Yes,25,4.14248593669146,U
TA-00076,S-0066,11-08-13,0,0,Yes,50,3.8253312041308,V
TA-00076,S-0066,11-08-13,0,0,Yes,100,3.68622825125332,W
TA-00076,S-0066,11-08-13,0,0,Yes,250,3.59998442046928,X
